"country","population_1970","area_km2","population_density","population_density_1970"
"Afghanistan",10752971,652230,63.0587,16.48647103015807
"Albania",2324731,28748,98.8702,80.86583414498399
"Algeria",13795915,2381741,18.8531,5.792365752615419
"American Samoa",27075,199,222.4774,136.05527638190955
"Andorra",19860,468,170.5641,42.43589743589744
"Angola",6029700,1246700,28.5466,4.836528435068581
"Anguilla",6283,91,174.2527,69.04395604395604
"Antigua and Barbuda",64516,442,212.1335,145.96380090497738
"Argentina",23842803,2780400,16.3683,8.575313983599482
"Armenia",2534377,29743,93.4831,85.20919207880846
"Aruba",59106,180,591.3611,328.3666666666667
"Australia",12595034,7692024,3.4032,1.6374148078581139
"Austria",7465301,83871,106.5877,89.00932384256775
"Azerbaijan",5425317,86600,119.6082,62.64800230946882
"Bahamas",179129,13943,29.4043,12.84723517177078
"Bahrain",222555,765,1924.4876,290.921568627451
"Bangladesh",67541860,147570,1160.035,457.69370468252356
"Barbados",241397,430,654.9651,561.3883720930232
"Belarus",9170786,207600,45.9295,44.17526974951831
"Belgium",9629376,30528,381.8111,315.42767295597486
"Belize",120905,22966,17.6466,5.264521466515719
"Benin",3023443,112622,118.5635,26.845935962778142
"Bermuda",52019,54,1188.5926,963.3148148148148
"Bhutan",298894,38394,20.3796,7.78491430952753
"Bolivia",4585693,1098581,11.1272,4.174196531707721
"Bosnia and Herzegovina",3815561,51209,63.1437,74.50957839442286
"Botswana",592244,582000,4.5194,1.0176013745704466
"Brazil",96369875,8515767,25.2841,11.316640650219762
"British Virgin Islands",9581,151,207.3179,63.450331125827816
"Brunei",133343,5765,77.8841,23.129748482220293
"Bulgaria",8582950,110879,61.1654,77.40825584646326
"Burkina Faso",5611666,272967,83.0641,20.55803815113182
"Burundi",3497834,27834,463.0874,125.66767263059567
"Cambodia",6708525,181035,92.6221,37.05650840997597
"Cameroon",6452787,475442,58.7128,13.57218546110777
"Canada",21434577,9984670,3.8513,2.146748665704525
"Cape Verde",287262,4033,147.0739,71.22787007190676
"Cayman Islands",10533,264,260.25,39.89772727272727
"Central African Republic",2067356,622984,8.9555,3.3184736686656477
"Chad",3667394,1284000,13.8032,2.856225856697819
"Chile",9820481,756102,25.9274,12.988301842873051
"China",822534450,9706961,146.8933,84.73655658037568
"Colombia",20905254,1141748,45.4339,18.30986697590011
"Comoros",242351,1862,449.3953,130.156283566058
"Cook Islands",20470,236,72.0805,86.73728813559322
"Costa Rica",1855697,51100,101.3861,36.315009784735814
"Croatia",4492638,56594,71.2153,79.38364490935435
"Cuba",8869636,109884,102.0366,80.7181755305595
"Curacao",150385,444,430.5473,338.7049549549549
"Cyprus",640804,9251,135.2814,69.26861960869095
"Czech Republic",9795744,78865,133.0627,124.20901540607368
"Denmark",4922963,43094,136.4984,114.2377825219288
"Djibouti",144379,23200,48.3125,6.223232758620689
